t\x,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.064,1.06503,1.17705,1.30085,1.43766,1.58886,1.75596,1.94064,2.14473,2.37029,2.61956,2.89504
0.065,1.06609,1.17823,1.30215,1.4391,1.59045,1.75772,1.94258,2.14688,2.37266,2.62218,2.89794
0.066,1.06716,1.1794,1.30345,1.44054,1.59204,1.75948,1.94452,2.14903,2.37503,2.62481,2.90084
0.067,1.06823,1.18058,1.30475,1.44198,1.59364,1.76124,1.94647,2.15118,2.37741,2.62743,2.90374
0.068,1.0693,1.18177,1.30606,1.44342,1.59523,1.763,1.94842,2.15333,2.37979,2.63006,2.90665
0.069,1.07037,1.18295,1.30737,1.44487,1.59683,1.76477,1.95037,2.15548,2.38217,2.63269,2.90955
0.07,1.07144,1.18413,1.30868,1.44631,1.59843,1.76653,1.95232,2.15764,2.38455,2.63533,2.91247
0.071,1.07251,1.18532,1.30998,1.44776,1.60003,1.7683,1.95427,2.1598,2.38694,2.63796,2.91538
0.072,1.07358,1.1865,1.3113,1.44921,1.60163,1.77007,1.95623,2.16196,2.38933,2.6406,2.9183
0.073,1.07466,1.18769,1.31261,1.45066,1.60323,1.77184,1.95819,2.16413,2.39172,2.64324,2.92122
0.074,1.07573,1.18888,1.31392,1.45211,1.60483,1.77362,1.96015,2.16629,2.39411,2.64589,2.92414
0.075,1.07681,1.19007,1.31524,1.45357,1.60644,1.77539,1.96211,2.16846,2.39651,2.64854,2.92706
0.076,1.07788,1.19126,1.31655,1.45502,1.60805,1.77717,1.96407,2.17063,2.39891,2.65119,2.92999
0.077,1.07896,1.19245,1.31787,1.45648,1.60966,1.77895,1.96604,2.1728,2.40131,2.65384,2.93292
0.078,1.08004,1.19364,1.31919,1.45793,1.61127,1.78073,1.968,2.17497,2.40371,2.65649,2.93586
0.079,1.08112,1.19484,1.32051,1.45939,1.61288,1.78251,1.96997,2.17715,2.40611,2.65915,2.9388
0.08,1.0822,1.19603,1.32183,1.46085,1.61449,1.78429,1.97194,2.17933,2.40852,2.66181,2.94174
0.081,1.08329,1.19723,1.32315,1.46231,1.61611,1.78608,1.97392,2.18151,2.41093,2.66448,2.94468
0.082,1.08437,1.19843,1.32448,1.46378,1.61773,1.78786,1.97589,2.18369,2.41334,2.66714,2.94763
0.083,1.08546,1.19963,1.3258,1.46524,1.61935,1.78965,1.97787,2.18588,2.41576,2.66981,2.95057
0.084,1.08654,1.20083,1.32713,1.46671,1.62097,1.79144,1.97985,2.18807,2.41818,2.67248,2.95353
0.085,1.08763,1.20203,1.32846,1.46818,1.62259,1.79324,1.98183,2.19025,2.4206,2.67516,2.95648
0.086,1.08872,1.20323,1.32979,1.46965,1.62421,1.79503,1.98381,2.19245,2.42302,2.67783,2.95944
0.087,1.08981,1.20444,1.33112,1.47112,1.62584,1.79683,1.9858,2.19464,2.42544,2.68051,2.9624
0.088,1.0909,1.20564,1.33245,1.47259,1.62746,1.79863,1.98779,2.19684,2.42787,2.68319,2.96536
0.089,1.09199,1.20685,1.33378,1.47406,1.62909,1.80043,1.98977,2.19903,2.4303,2.68588,2.96833
0.09,1.09308,1.20805,1.33512,1.47554,1.63072,1.80223,1.99177,2.20123,2.43273,2.68857,2.9713
0.091,1.09417,1.20926,1.33645,1.47701,1.63235,1.80403,1.99376,2.20344,2.43516,2.69126,2.97427
0.092,1.09527,1.21047,1.33779,1.47849,1.63399,1.80584,1.99575,2.20564,2.4376,2.69395,2.97725
0.093,1.09636,1.21168,1.33913,1.47997,1.63562,1.80764,1.99775,2.20785,2.44004,2.69664,2.98023
0.094,1.09746,1.2129,1.34047,1.48145,1.63726,1.80945,1.99975,2.21006,2.44248,2.69934,2.98321
0.095,1.09856,1.21411,1.34181,1.48293,1.6389,1.81126,2.00175,2.21227,2.44492,2.70204,2.98619
